Player,Pos,Role,Guard,Wing,Big,Team_Signed_With,Age_At_Signing,Age_At_Start,Age_At_End,Median_Age,Peak_Age_Range,Far_From_Peak,Start,End,Yrs,C_Over,Value,AAV,Type,Max_Contract,Signed_Date,Contract Period,Avg_Salary_Cap,Avg_Luxury_Tax,Avg_1st_Apron,Avg_2nd_Apron,AAV / Salary Cap,AAV / Luxury Tax,AAV / 1st Apron,AAV / 2nd Apron,GP_2Y_Before,GP_1Y_Before,Avg_GP_Before,W_Avg_GP_Before,MPG_2Y_Before,MPG_1Y_Before,Avg_MPG_Before,W_Avg_MPG_Before,W_Avg_Min_Before,USG_2Y_Before,USG_1Y_Before,Avg_USG_Before,W_Avg_USG_Before,EPM_2Y_Before,EPM_1Y_Before,Avg_EPM_Before,W_Avg_EPM_Before,Z-Score_W_Avg_EPM,Age_Adj_EPM_Before,Change_EPM_Before,EPM_1Y_After,EPM_2Y_After,EPM_3Y_After,EPM_4Y_After,EPM_5Y_After,EW_2Y_Before,EW_1Y_Before,Avg_EW_Before,W_Avg_EW_Before,Z-Score_W_Avg_EW,Age_Adj_EW_Before,Change_EW_Before,EW_1Y_After,EW_2Y_After,EW_3Y_After,EW_4Y_After,EW_5Y_After
Carmelo Anthony,PF,2,,1,,NYK,29,30,34,32,1,3,2014,2018,5,1,"$124,064,681.00","$24,812,936.00",maximum,1,,2014-2018.0,"$85,634,000.00","$103,571,000.00","$108,387,800.00",,28.98%,23.96%,22.89%,,67,77,72,74.5,37,38.7143,37.85715,38.285725,2852.286513,34.600%,31.604%,33.102%,32.353%,2.7,3.40031,3.050155,3.2252325,1.678867792,1.578867792,0.70031,1.40203,1.14035,0.0661633,-0.324705,-3.48678,6.6,12.9891,9.79455,11.391825,2.692045848,2.592045848,6.3891,4.26209,7.09827,5.2514,4.50429,-0.108311
Chris Bosh,PF,2.5,,0.5,0.5,MIA,29,30,34,32,1,3,2014,2018,5,1,"$118,705,300.00","$23,741,060.00",maximum,1,,2014-2018.0,"$85,634,000.00","$103,571,000.00","$108,387,800.00",,27.72%,22.92%,21.90%,,74,79,76.5,77.75,33.2,32.038,32.619,32.3285,2513.540875,22.500%,22.376%,22.438%,22.407%,1.4,3.48209,2.441045,2.9615675,1.568045722,1.468045722,2.08209,1.17417,2.39491,,,,4.9,11.1692,8.0346,9.6019,2.142501862,2.042501862,6.2692,4.4021,6.51881,,,
Paul George,SG,1.5,0.5,0.5,,IND,24,24,28,26,1,3,2014,2018,5,1,"$91,572,660.00","$18,314,532.00",Designated Rookie Extension,0,,2014-2018.0,"$85,634,000.00","$103,571,000.00","$108,387,800.00",,21.39%,17.68%,16.90%,,79,80,79.5,79.75,37.6,36.225,36.9125,36.56875,2916.357813,23.000%,27.295%,25.148%,26.221%,3.2,4.10347,3.651735,3.8776025,1.953067983,2.453067983,0.90347,-2.08934,3.52625,3.28572,2.58086,7.11934,8.5,14.0235,11.26175,12.642625,3.076067311,3.576067311,5.5235,0.0536765,12.5233,11.5041,11,19.6259
John Wall,PG,1,1,,,WAS,24,24,28,26,1,3,2014,2018,5,1,"$84,789,500.00","$16,957,900.00",Designated Rookie Extension,0,,2014-2018.0,"$85,634,000.00","$103,571,000.00","$108,387,800.00",,19.80%,16.37%,15.65%,,49,82,65.5,73.75,32.7,36.3293,34.51465,35.421975,2612.370656,28.300%,26.576%,27.438%,27.007%,2.5,2.71353,2.606765,2.6601475,1.441354701,1.941354701,0.21353,3.81968,3.30442,3.93297,3.39298,0.989472,2.2,11.5772,6.8886,9.2329,2.029211232,2.529211232,9.3772,13.1705,11.9444,13.3881,6.1,2.98289
Eric Bledsoe,PG,1,1,,,PHX,24,25,29,27,1,2,2014,2018,5,1,"$70,000,000.00","$14,000,000.00",Rookie Extension,0,,2014-2018.0,"$85,634,000.00","$103,571,000.00","$108,387,800.00",,16.35%,13.52%,12.92%,,76,43,59.5,51.25,20.4,32.9302,26.6651,29.79765,1527.129563,21.800%,24.233%,23.017%,23.625%,1.3,2.50652,1.90326,2.20489,1.250003637,1.650003637,1.20652,2.83458,3.35131,2.15884,3.56555,3.92109,3.6,5.30189,4.450945,4.8764175,0.6916810234,1.091681023,1.70189,11.1092,4.57671,7.62658,10.3761,10.7074
DeMarcus Cousins,C,3,,,1,SAC,23,24,27,25.5,0,3.5,2014,2017,4,1,"$65,619,700.00","$16,404,925.00",Designated Rookie Extension,0,,2014-2017.0,"$81,575,250.00","$98,530,500.00","$103,030,500.00",,20.11%,16.65%,15.92%,,75,71,73,72,30.5,32.3521,31.42605,31.889075,2296.0134,27.700%,32.319%,30.009%,31.164%,0.2,3.92632,2.06316,2.99474,1.581988586,2.081988586,3.72632,4.23406,3.32464,4.07631,3.46035,,3.4,10.8389,7.11945,8.979175,1.951312411,2.451312411,7.4389,9.92148,9.66684,11.8831,7.63833,
Gordon Hayward,SF,2,,1,,UTA,23,24,27,25.5,0,3.5,2014,2017,4,1,"$62,965,420.00","$15,741,355.00",maximum,1,,2014-2017.0,"$81,575,250.00","$98,530,500.00","$103,030,500.00",,19.30%,15.98%,15.28%,,72,77,74.5,75.75,29.2,36.3507,32.77535,34.563025,2618.149144,20.900%,22.496%,21.698%,22.097%,1,0.518819,0.7594095,0.63911425,0.5918862963,1.091886296,-0.481181,3.34791,2.23284,3.90707,,,3.2,6.66176,4.93088,5.79632,0.9741101121,1.474110112,3.46176,11.3083,10.2853,11.8324,,
Marcin Gortat,C,3,,,1,WAS,29,30,34,32,1,3,2014,2018,5,1,"$60,000,000.00","$12,000,000.00",Free Agent,0,,2014-2018.0,"$85,634,000.00","$103,571,000.00","$108,387,800.00",,14.01%,11.59%,11.07%,,61,81,71,76,30.7,32.7778,31.7389,32.25835,2451.6346,17.100%,17.841%,17.471%,17.656%,-0.1,2.42188,1.16094,1.79141,1.076212238,0.9762122382,2.52188,2.94453,2.56318,-0.404846,-0.59857,-1.07364,3.3,9.78405,6.542025,8.1630375,1.700741322,1.600741322,6.48405,9.91716,8.53173,4.46174,3.34619,0.965954
Kobe Bryant,SG,1,1,,,LAL,35,36,37,36.5,0,7.5,2014,2015,2,1,"$48,500,000.00","$24,250,000.00",Veteran Extension,0,,2014-2015.0,"$66,532,500.00","$80,784,500.00","$84,784,500.00",,36.45%,30.02%,28.60%,,78,6,42,24,38.6,29.5,34.05,31.775,762.6,30.900%,28.713%,29.806%,29.260%,3.5,-2.31191,0.594045,-0.8589325,-0.0377636032,-0.7377636032,-5.81191,-0.642838,-0.808288,,,,9.3,0.0775994,4.6887997,2.38319955,-0.07378844072,-0.7737884407,-9.2224006,1.91006,2.73751,,,
Kyle Lowry,PG,1,1,,,TOR,27,28,31,29.5,1,0.5,2014,2017,4,1,"$48,000,000.00","$12,000,000.00",Re-signed,0,,2014-2017.0,"$81,575,250.00","$98,530,500.00","$103,030,500.00",,14.71%,12.18%,11.65%,,68,79,73.5,76.25,29.7,36.2152,32.9576,34.5864,2637.213,19.500%,22.069%,20.784%,21.426%,3.4,4.52404,3.96202,4.24303,2.106662247,2.206662247,1.12404,3.94365,5.75112,6.00151,5.5377,,5.3,14.6732,9.9866,12.3299,2.98005427,3.08005427,9.3732,11.4175,17.0194,13.7795,14.6106,
